,I1,I2,F1,F3,I3,T1,S1
I1,0.0540787975341799,0.34982575306355584,0.22210221283249418,0.24256192629185552,0.2988195205073028,0.4303428955947389,0.4212673247459868
I2,0.10685729370694926,0.10373329169748381,0.21359814553891907,0.23254016741814054,0.24140809072917715,0.35796408487478965,0.36947948865064645
F1,0.046329363506163276,0.17863300440593657,0.09793956561813182,0.2873143242181473,0.18608253809559572,0.3857911581422329,0.4007143990673334
F3,0.03832440445074274,0.13848416190536772,0.18577317506189334,0.09102694530279136,0.14398197498186935,0.3029889512955954,0.33526732015625366
I3,0.031713266483653316,0.11873389559303806,0.10041174303924601,0.11025122322329302,0.05393979003099595,0.2394497015938733,0.24702083631609983
T1,0.035464110095524665,0.05422606757698185,0.05378887249207388,0.0712445059404053,0.054959568401635274,0.055870674678239564,0.12948141445259956
S1,0.035751163760044086,0.060326104365008744,0.06858041628273726,0.07457081276039519,0.05731239760863278,0.10797731838675935,0.06385343665788103
