,I1,I2,F1,F3,I3,T1,S1
I1,0.0,0.5,0.20000000000000004,0.20000000000000004,0.3499999999999999,0.4000000000000001,0.3499999999999999
I2,0.15,0.0,0.25,0.25,0.30000000000000004,0.3499999999999999,0.3499999999999999
F1,0.01666666666666667,0.20000000000000004,0.0,0.4000000000000001,0.20000000000000004,0.45,0.45
F3,0.01666666666666667,0.15,0.25,0.0,0.15,0.3499999999999999,0.4000000000000001
I3,0.01666666666666667,0.15,0.10000000000000002,0.10000000000000002,0.0,0.30000000000000004,0.30000000000000004
T1,0.05044444444444446,0.05044444444444446,0.05044444444444446,0.07999999999999997,0.05044444444444446,0.0,0.15
S1,0.05044444444444446,0.05999999999999996,0.07999999999999997,0.07999999999999997,0.05044444444444446,0.10000000000000002,0.0
